user_id,movie_id,rank,recommendation_score,title,release_date,imdb_url
1,7,1,-0.19673097133636475,Twelve Monkeys (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995)
1,475,2,-0.2254837602376938,Trainspotting (1996),19-Jul-1996,http://us.imdb.com/Title?Trainspotting+(1996)
1,96,3,-0.6631394028663635,Terminator 2: Judgment Day (1991),01-Jan-1991,http://us.imdb.com/M/title-exact?Terminator%202:%20Judgment%20Day%20(1991)
1,169,4,-0.6861960887908936,"Wrong Trousers, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Wrong%20Trousers,%20The%20(1993)"
1,183,5,-0.7168216705322266,Alien (1979),01-Jan-1979,http://us.imdb.com/M/title-exact?Alien%20(1979)
1,408,6,-0.7200801968574524,"Close Shave, A (1995)",28-Apr-1996,"http://us.imdb.com/M/title-exact?Close%20Shave,%20A%20(1995)"
1,109,7,-0.812554657459259,Mystery Science Theater 3000: The Movie (1996),19-Apr-1996,http://us.imdb.com/M/title-exact?Mystery%20Science%20Theater%203000:%20The%20Movie%20(1996)
1,276,8,-0.8522960543632507,Leaving Las Vegas (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Leaving%20Las%20Vegas%20(1995)
1,433,9,-0.873354971408844,Heathers (1989),01-Jan-1989,http://us.imdb.com/M/title-exact?Heathers%20(1989)
1,98,10,-1.0114991664886475,"Silence of the Lambs, The (1991)",01-Jan-1991,"http://us.imdb.com/M/title-exact?Silence%20of%20the%20Lambs,%20The%20(1991)"
1,176,11,-1.0168561935424805,Aliens (1986),01-Jan-1986,http://us.imdb.com/M/title-exact?Aliens%20(1986)
1,508,12,-1.091097354888916,"People vs. Larry Flynt, The (1996)",27-Dec-1996,"http://us.imdb.com/M/title-exact?People%20vs.%20Larry%20Flynt,%20The%20(1996)"
1,208,13,-1.1167583465576172,Young Frankenstein (1974),01-Jan-1974,http://us.imdb.com/M/title-exact?Young%20Frankenstein%20(1974)
1,273,14,-1.1716206073760986,Heat (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Heat%20(1995)
1,24,15,-1.2009665966033936,Rumble in the Bronx (1995),23-Feb-1996,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995)
1,652,16,-1.2133668661117554,Rosencrantz and Guildenstern Are Dead (1990),01-Jan-1990,http://us.imdb.com/M/title-exact?Rosencrantz%20and%20Guildenstern%20Are%20Dead%20(1990)
1,258,17,-1.2206714153289795,Contact (1997),11-Jul-1997,http://us.imdb.com/Title?Contact+(1997/I)
1,135,18,-1.2231589555740356,2001: A Space Odyssey (1968),01-Jan-1968,http://us.imdb.com/M/title-exact?2001:%20A%20Space%20Odyssey%20(1968)
1,179,19,-1.2310634851455688,"Clockwork Orange, A (1971)",01-Jan-1971,"http://us.imdb.com/M/title-exact?Clockwork%20Orange,%20A%20(1971)"
1,188,20,-1.2717995643615723,Full Metal Jacket (1987),01-Jan-1987,http://us.imdb.com/M/title-exact?Full%20Metal%20Jacket%20(1987)
2,258,1,1.646130919456482,Contact (1997),11-Jul-1997,http://us.imdb.com/Title?Contact+(1997/I)
2,9,2,1.2274386882781982,Dead Man Walking (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995)
2,124,3,1.092350721359253,Lone Star (1996),21-Jun-1996,http://us.imdb.com/M/title-exact?Lone%20Star%20(1996)
2,126,4,0.958748459815979,"Spitfire Grill, The (1996)",06-Sep-1996,"http://us.imdb.com/M/title-exact?Spitfire%20Grill,%20The%20(1996)"
2,289,5,0.9502301812171936,Evita (1996),25-Dec-1996,http://us.imdb.com/M/title-exact?Evita%20(1996)
2,272,6,0.9221125245094299,Good Will Hunting (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?imdb-title-119217
2,319,7,0.8190959095954895,Everyone Says I Love You (1996),06-Dec-1996,http://us.imdb.com/M/title-exact?Everyone%20Says%20I%20Love%20You%20(1996)
2,313,8,0.7537568211555481,Titanic (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?imdb-title-120338
2,305,9,0.7302859425544739,"Ice Storm, The (1997)",01-Jan-1997,http://us.imdb.com/M/title-exact?Ice+Storm%2C+The+(1997)
2,268,10,0.7071040272712708,Chasing Amy (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?Chasing+Amy+(1997)
2,591,11,0.6552097201347351,Primal Fear (1996),30-Mar-1996,http://us.imdb.com/M/title-exact?Primal%20Fear%20(1996)
2,116,12,0.651519775390625,Cold Comfort Farm (1995),23-Apr-1996,http://us.imdb.com/M/title-exact?Cold%20Comfort%20Farm%20(1995)%20(TV)
2,690,13,0.6433402895927429,Seven Years in Tibet (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?Seven+Years+in+Tibet+(1997)
2,129,14,0.6036956310272217,Bound (1996),04-Oct-1996,http://us.imdb.com/M/title-exact?Bound%20(1996)
2,508,15,0.5980351567268372,"People vs. Larry Flynt, The (1996)",27-Dec-1996,"http://us.imdb.com/M/title-exact?People%20vs.%20Larry%20Flynt,%20The%20(1996)"
2,340,16,0.5939905643463135,Boogie Nights (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?Boogie+Nights+(1997)
2,137,17,0.5732111930847168,Big Night (1996),20-Sep-1996,http://us.imdb.com/M/title-exact?Big%20Night%20(1996)
2,15,18,0.5440990924835205,Mr. Holland's Opus (1995),29-Jan-1996,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995)
2,287,19,0.5393373966217041,Marvin's Room (1996),18-Dec-1996,http://us.imdb.com/M/title-exact?Marvin's%20Room%20(1996)
2,181,20,0.5033941864967346,Return of the Jedi (1983),14-Mar-1997,http://us.imdb.com/M/title-exact?Return%20of%20the%20Jedi%20(1983)
3,302,1,2.127197027206421,L.A. Confidential (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?L%2EA%2E+Confidential+(1997)
3,258,2,2.0874691009521484,Contact (1997),11-Jul-1997,http://us.imdb.com/Title?Contact+(1997/I)
3,313,3,2.083371877670288,Titanic (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?imdb-title-120338
3,286,4,1.8955316543579102,"English Patient, The (1996)",15-Nov-1996,"http://us.imdb.com/M/title-exact?English%20Patient,%20The%20(1996)"
3,272,5,1.6478984355926514,Good Will Hunting (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?imdb-title-119217
3,269,6,1.5390316247940063,"Full Monty, The (1997)",01-Jan-1997,http://us.imdb.com/M/title-exact?Full+Monty%2C+The+(1997)
3,268,7,1.5344865322113037,Chasing Amy (1997),01-Jan-1997,http://us.imdb.com/M/title-exact?Chasing+Amy+(1997)
3,333,8,1.490412950515747,"Game, The (1997)",01-Jan-1997,http://us.imdb.com/M/title-exact?Game%2C+The+(1997)
3,307,9,1.473514437675476,"Devil's Advocate, The (1997)",01-Jan-1997,"http://us.imdb.com/M/title-exact?Devil's+Advocate,+The+(1997)"
3,315,10,1.4482632875442505,Apt Pupil (1998),23-Oct-1998,http://us.imdb.com/Title?Apt+Pupil+(1998)
